"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"5AR9MGRD","journalArticle","2007","Paul N. Otto; Paul N. Otto; Annie I. Antón; Annie I. Antón","Addressing Legal Requirements in Requirements Engineering","","","","10.1109/re.2007.65","","Legal texts, such as regulations and legislation, are playing an increasingly important role in requirements engineering and system development. Monitoring systems for requirements and policy compliance has been recognized in the requirements engineering community as a key area for research. Similarly, regulatory compliance is critical in systems that are governed by regulations and law, especially given that non-compliance can result in both financial and criminal penalties. Working with legal texts can be very challenging, however, because they contain numerous ambiguities, cross-references, domain-specific definitions, and acronyms, and are frequently amended via new regulations and case law. Requirements engineers and compliance auditors must be able to identify relevant regulations, extract requirements and other key concepts, and monitor compliance throughout the software lifecycle. This paper surveys research efforts over the past 50 years in handling legal texts for systems development. These efforts include the use of symbolic logic, logic programming, first-order temporal logic, deontic logic, defeasible logic, goal modeling, and semi-structured representations. This survey can aid requirements engineers and auditors to better specify, monitor, and test software systems for compliance.","2007","2025-03-26 12:56:38","2025-03-26 12:56:38","","","","","","","","","","","","","","","","","","","","","","","","","https://doi.org/10.1109/re.2007.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8EXXX5U8","journalArticle","2009","Sepideh Ghanavati; Sepideh Ghanavati; Daniel Amyot; Daniel Amyot; Liam Peyton; Liam Peyton; Liam Peyton","Compliance Analysis Based on a Goal-oriented Requirement Language Evaluation Methodology","","","","10.1109/re.2009.42","","In recent years, many governmental regulations have been introduced to protect the privacy of person-al information. As a result, organizations must take a systematic approach to ensure that their business processes comply with these regulations. In the past, we introduced a requirements framework that mapped regulations documents and goals to goal and scenario models of organizational processes. The intent was to help organizations document and manage the compliance of their processes in the face of evolutionary changes. In this paper, we extend our framework by incorporating regulation scenario models and by adding the notion of contribution link level to the compliance link types. These extensions result in a frame-work that is more aligned to the needs of an organization when it must evaluate and ensure the legal compliance of its organizational processes.","2009","2025-03-26 12:56:38","2025-03-26 12:56:38","","","","","","","","","","","","","","","","","","","","","","","","","https://doi.org/10.1109/re.2009.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W6T78Z7C","journalArticle","2010","Aaron K. Massey; Aaron K. Massey; Paul N. Otto; Paul N. Otto; Lauren J. Hayward; Lauren J. Hayward; Annie I. Antón; Annie I. Antón","Evaluating existing security and privacy requirements for legal compliance","Requirements Engineering","","","10.1007/s00766-009-0089-5","","Governments enact laws and regulations to safeguard the security and privacy of their citizens. In response, requirements engineers must specify compliant system requirements to satisfy applicable legal security and privacy obligations. Specifying legally compliant requirements is challenging because legal texts are complex and ambiguous by nature. In this paper, we discuss our evaluation of the requirements for iTrust, an open-source Electronic Health Records system, for compliance with legal requirements governing security and privacy in the healthcare domain. We begin with an overview of the method we developed, using existing requirements engineering techniques, and then summarize our experiences in applying our method to the iTrust system. We illustrate some of the challenges that practitioners face when specifying requirements for a system that must comply with law and close with a discussion of needed future research focusing on security and privacy requirements.","2010","2025-03-26 12:56:39","2025-03-26 12:56:39","","","","","","","Requirements Engineering","","","","","","","","","","","","","","","","","","https://doi.org/10.1007/s00766-009-0089-5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ET6LYDSP","journalArticle","1986","Marek Sergot; Marek Sergot; Fariba Sadri; Fariba Sadri; Robert Kowalski; Robert A. Kowalski; Frank Kriwaczek; F. Kriwaczek; Peter Hammond; Peter Hammond; Hans Cory; H. T. Cory","The British Nationality Act as a logic program","Communications of The ACM","","","10.1145/5689.5920","","The formalization of legislation and the development of computer systems to assist with legal problem solving provide a rich domain for developing and testing artificial-intelligence technology.","1986","2025-03-26 12:56:39","2025-03-26 12:56:39","","","","","","","Communications of The ACM","","","","","","","","","","","","","","","","","","https://doi.org/10.1145/5689.5920","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JIB4Q3JL","journalArticle","2008","Travis D. Breaux; Travis D. Breaux; Annie I. Antón; Annie I. Antón","Analyzing Regulatory Rules for Privacy and Security Requirements","IEEE Transactions on Software Engineering","","","10.1109/tse.2007.70746","","Information practices that use personal, financial, and health-related information are governed by US laws and regulations to prevent unauthorized use and disclosure. To ensure compliance under the law, the security and privacy requirements of relevant software systems must properly be aligned with these regulations. However, these regulations describe stakeholder rules, called rights and obligations, in complex and sometimes ambiguous legal language. These ""rules"" are often precursors to software requirements that must undergo considerable refinement and analysis before they become implementable. To support the software engineering effort to derive security requirements from regulations, we present a methodology for directly extracting access rights and obligations from regulation texts. The methodology provides statement-level coverage for an entire regulatory document to consistently identify and infer six types of data access constraints, handle complex cross references, resolve ambiguities, and assign required priorities between access rights and obligations to avoid unlawful information disclosures. We present results from applying this methodology to the entire regulation text of the US Health Insurance Portability and Accountability Act (HIPAA) Privacy Rule.","2008","2025-03-26 12:56:39","2025-03-26 12:56:39","","","","","","","IEEE Transactions on Software Engineering","","","","","","","","","","","","","","","","","","https://doi.org/10.1109/tse.2007.70746","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LAT55EBC","journalArticle","2009","Annie I. Antón; Annie I. Antón; Travis D. Breaux; Travis D. Breaux","Legal requirements acquisition for the specification of legally compliant information systems","","","","","","U.S. federal and state regulations impose mandatory and discretionary requirements on industry-wide business practices to achieve non-functional, societal goals such as improved accessibility, privacy and safety. The structure and syntax of regulations affects how well software engineers identify and interpret legal requirements. Inconsistent interpretations can lead to noncompliance and violations of the law. To support software engineers who must comply with these regulations, I propose a Frame-Based Requirements Analysis Method (FBRAM) to acquire and specify legal requirements from U.S. federal regulatory documents. The legal requirements are systematically specified using a reusable, domain-independent upper ontology, natural language phrase heuristics, a regulatory document model and a frame-based markup language. The methodology maintains traceability from regulatory statements and phrases to formal properties in a frame-based model and supports the resolution of multiple types of legal ambiguity. The methodology is supported by a software prototype to assist engineers with applying the model and with analyzing legal requirements. This work is validated in three domains, information privacy, information accessibility and aviation safety, which are governed by the Health Insurance Portability and Accountability Act of 1996, the Rehabilitation Act Amendments of 1998, and the Federal Aviation Act of 1958, respectively.","2009","2025-03-26 12:56:39","2025-03-26 12:56:39","","","","","","","","","","","","","","","","","","","","","","","","","https://scholar.google.com/scholar?q=Legal%20requirements%20acquisition%20for%20the%20specification%20of%20legally%20compliant%20information%20systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAQFJA93","journalArticle","2006","Michael J. May; Michael J. May; Carl A. Gunter; Carl A. Gunter; I. Lee; Insup Lee","Privacy APIs: access control techniques to analyze and verify legal privacy policies","","","","10.1109/csfw.2006.24","","There is a growing interest in establishing rules to regulate the privacy of citizens in the treatment of sensitive personal data such as medical and financial records. Such rules must be respected by software used in these sectors. The regulatory statements are somewhat informal and must be interpreted carefully in the software interface to private data. This paper describes techniques to formalize regulatory privacy rules and how to exploit this formalization to analyze the rules automatically. Our formalism, which we call privacy APIs, is an extension of access control matrix operations to include (1) operations for notification and logging and (2) constructs that ease the mapping between legal and formal language. We validate the expressive power of privacy APIs by encoding the 2000 and 2003 HIPAA consent rules in our system. This formalization is then encoded into Promela and we validate the usefulness of the formalism by using the SPIN model checker to verify properties that distinguish the two versions of HIPAA.","2006","2025-03-26 12:56:39","2025-03-26 12:56:39","","","","","","","","","","","","","","","","","","","","","","","","","https://doi.org/10.1109/csfw.2006.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E5BNGD9R","journalArticle","1993","Donald H. Berman; Donald H. Berman; Carole D. Hafner; Carole D. Hafner","Representing teleological structure in case-based legal reasoning: the missing link","","","","10.1145/158976.158982","","We argue that robust case-based models of legal knowledge that represent the way in which practicing professionals use legal decisions must contain a deeper domain model that represents the purposes behind the rules articulated in the cases. We propose a  model for representing the teleological components of legal decisions, and we suggest a method for utilizing this representation in a HYPO-like framework for case-based legal argument.","1993","2025-03-26 12:56:39","2025-03-26 12:56:39","","","","","","","","","","","","","","","","","","","","","","","","","https://doi.org/10.1145/158976.158982","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PK8RUEYG","journalArticle","1997","Vincent Aleven; Vincent Aleven","Teaching case-based argumentation through a model and examples","","","","","","CATO is an intelligent learning environment designed to help beginning law students learn basic skills of making arguments with cases. Using CATO, students practice tasks of induction and analogical argumentation. They practice testing theories against a body of cases and making written arguments about a problem, comparing and contrasting it to past cases. CATO's model addresses arguments in which two opponents analogize a problem to favorable cases, distinguish unfavorable cases, assess the significance of similarities and differences between cases in light of normative knowledge about the domain, and use that knowledge to organize multi-case arguments. CATO communicates the model to students by presenting dynamically-generated argumentation examples and by reifying argument structure based on the model. CATO also provides a case database and tools based on the model that help make students' tasks more manageable. CATO was evaluated in the context of an actual legal writing course, in a study involving 30 first-year law students. We found that instruction with CATO leads to statistically significant improvement in students' basic argumentation skills, comparable to that achieved by an experienced legal writing instructor teaching groups of 4-10 students. However, on a more advanced legal writing assignment, meant to explore the frontier of the CATO instruction, students taught by the legal writing instructor had higher grades, suggesting a need for more integrated practice with the CATO model. CATO contributes to AI research fields modeling educational techniques as well as case-based and legal reasoning. It is a novel result that students can learn basic argumentation skills by studying computer-generated examples. It means that an instructional system does not necessarily need to rely on a very sophisticated understanding of students' arguments, which would be a significant obstacle to developing such systems. Also, CATO presents novel techniques for using background knowledge to support similarity assessment in case-based reasoning. Drawing on its background knowledge, CATO characterizes and re-characterizes cases in order to argue that two cases are similar or different. This is an important skill in the legal domain not previously modeled. CATO's arguments may help a user in assessing the similarity of cases in a more discriminatory way.","1997","2025-03-26 12:56:39","2025-03-26 12:56:39","","","","","","","","","","","","","","","","","","","","","","","","","https://scholar.google.com/scholar?q=Teaching%20case-based%20argumentation%20through%20a%20model%20and%20examples","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5GZ9T88U","journalArticle","1923","Wesley Newcomb Hohfeld; Wesley Newcomb Hohfeld; Wesley Newcomb Hohfeld","Fundamental legal conceptions as applied in judicial reasoning","","","","","","Hohfeld's writings, from 1913 and 1917, delve into the distinctions between such legal concepts as privilege and duty, and right, immunity and liability, etc.","1923","2025-03-26 12:56:39","2025-03-26 12:56:39","","","","","","","","","","","","","","","","","","","","","","","","","https://scholar.google.com/scholar?q=Fundamental%20legal%20conceptions%20as%20applied%20in%20judicial%20reasoning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
