"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GRN76BAA","conferencePaper","2015","Sunkle, Sagar; Kholkar, Deepali; Kulkarni, Vinay","Model-driven regulatory compliance: A case study of “Know Your Customer” regulations","2015 ACM/IEEE 18th International Conference on Model Driven Engineering Languages and Systems (MODELS)","","","10.1109/MODELS.2015.7338275","","Modern enterprises face an unprecedented regulatory regime. Industry governance, risk, and compliance (GRC) solutions are document-oriented and expert-driven. Formal compliance checking techniques in contrast attempt to provide ways for rigorous modeling and analysis of regulatory compliance but miss out on holistic GRC perspective due to missing integration between diverse set of (semi-) formal models. We show that streamlining regulatory compliance using multiple purposive models of various aspects of regulations, it is possible to leverage both the rigor of formal techniques and the holistic enterprise GRC perspective. Our contributions are twofold. First, we present a model-driven architecture based on a conceptual model of integrated GRC that is capable of addressing key challenges of regulatory compliance. Second, using Know Your Customer regulations in Indian context as a case study, we demonstrate the utility of this architecture. Initial results with KYC regulations are promising and point to further work in model-driven regulatory compliance.","2015-09","2025-02-19 14:51:09","2025-02-19 14:51:09","","436-445","","","","","","","","","","","","","","","","","","","","","","","","Law; Adaptation models; Business; Industries; Semantics; Vocabulary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B873PKLZ","conferencePaper","2009","Hassan, Waël; Logrippo, Luigi","Governance Requirements Extraction Model for Legal Compliance Validation","2009 Second International Workshop on Requirements Engineering and Law","","","10.1109/RELAW.2009.4","","We present a model-based approach to extract governance requirements from the law and enterprise regulations, to formal specifications. This is the first step of an end-to-end implemented methodology for validating legal compliance of enterprises to law through logic models. Our UML-based Governance Extraction Model (GEM) is able to extract many legal and enterprise requirements, particularly business process and access-control requirements. Examples from Canadian and USA financial and privacy laws are provided. As a result of our extraction process, logic analyzers were shown to be able to detect compliance faults.","2009-09","2025-02-19 14:51:09","2025-02-19 14:51:09","","7-12","","","","","","","","","","","","","","","","","","","","","","","","Law; Privacy; Data mining; Vocabulary; Fault detection; Formal specifications; Information technology; Legal factors; Logic; Protection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P72CQIHX","conferencePaper","2008","Hassan, Wa ël; Logrippo, Luigi","Requirements and compliance in legal systems: a logic approach","2008 Requirements Engineering and Law","","","10.1109/RELAW.2008.8","","It is shown that the concepts of requirements and implementation exist in normative systems, in particular in law, and are similar to homologous concepts in software engineering. Concepts of compliance and conformance are also similar in the two areas. Further, it is shown how a logic analyzer such as Alloy can be used in order to verify legal compliance by checking consistency between legal and enterprise requirements. Examples are taken from privacy law and financial reporting law.","2008-09","2025-02-19 14:51:09","2025-02-19 14:51:09","","40-44","","","","","","","","","","","","","","","","","","","","","","","","Law; Privacy; Data mining; Ontologies; Access control; Legal factors; Logic; Protection; Hardware; Natural languages","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X68Z864C","conferencePaper","2009","Maxwell, Jeremy C.; Antón, Annie I.","Checking Existing Requirements for Compliance with Law Using a Production Rule Model","2009 Second International Workshop on Requirements Engineering and Law","","","10.1109/RELAW.2009.3","","To ensure legal compliance, requirements engineers need tools to determine existing software requirements' compliance with relevant law. We propose using a production rule model for requirements engineers to query as they check software requirements for legal compliance. In this paper, we perform a case study using our approach to evaluate the iTrust Medical Records System requirements for compliance with the u.s. Health Insurance Portability and Accountability Act (HIPAA). We identifY 12 new compliance requirements beyond the 63 functional requirements with which we began our analysis.","2009-09","2025-02-19 14:51:09","2025-02-19 14:51:09","","1-6","","","","","","","","","","","","","","","","","","","","","","","","Law; Privacy; Data mining; Fault detection; Formal specifications; Information technology; Legal factors; Logic; Protection; Production","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEKCARNA","journalArticle","2021","Amato, Flora; Cozzolino, Giovanni; Moscato, Francesco; Moscato, Vincenzo; Xhafa, Fatos","A Model for Verification and Validation of Law Compliance of Smart Contracts in IoT Environment","IEEE Transactions on Industrial Informatics","","1941-0050","10.1109/TII.2021.3057595","","The interest of Industry 4.0 in smart contracts and blockchain technologies is growing up day by day. Smart contracts have enabled new kinds of interactions whereby contractors can even fully automate processes they agree on. This technology is really appealing in Internet of Things (IoT) domain because smart devices generate events for software agents involved in a smart contract execution, making full automation possible. However, smart contracts have to comply with national and international laws and accountability of participant's actions. Soundness of a smart contract has to be verified in terms of law compliance. Here, we propose a model for verification and validation of law compliance of smart contracts in IoT environments. The main goal of this article is to propose a formal model (based on multiagent logic and ontological description of contracts) for validating law compliance of smart contracts and to determine potential responsibilities of failures.","2021-11","2025-02-19 14:51:09","2025-02-19 14:51:09","","7752-7759","","11","17","","","","","","","","","","","","","","","","","","","","","Law; Blockchain; smart contracts; Internet of Things; multiagent systems; Analytical models; Automobiles; industry 4.0; Insurance; Internet of Things (IoT); Smart contracts; Unified modeling language","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PGASTNYV","conferencePaper","2007","Otto, Paul N.; Anton, Annie I.","Addressing Legal Requirements in Requirements Engineering","15th IEEE International Requirements Engineering Conference (RE 2007)","","","10.1109/RE.2007.65","","Legal texts, such as regulations and legislation, are playing an increasingly important role in requirements engineering and system development. Monitoring systems for requirements and policy compliance has been recognized in the requirements engineering community as a key area for research. Similarly, regulatory compliance is critical in systems that are governed by regulations and law, especially given that non-compliance can result in both financial and criminal penalties. Working with legal texts can be very challenging, however, because they contain numerous ambiguities, cross-references, domain-specific definitions, and acronyms, and are frequently amended via new regulations and case law. Requirements engineers and compliance auditors must be able to identify relevant regulations, extract requirements and other key concepts, and monitor compliance throughout the software lifecycle. This paper surveys research efforts over the past 50 years in handling legal texts for systems development. These efforts include the use of symbolic logic, logic programming, first-order temporal logic, deontic logic, defeasible logic, goal modeling, and semi-structured representations. This survey can aid requirements engineers and auditors to better specify, monitor, and test software systems for compliance.","2007-10","2025-02-19 14:51:09","2025-02-19 14:51:09","","5-14","","","","","","","","","","","","","","","","","","","","ISSN: 2332-6441","","","","Monitoring; Law; Legal factors; Computer science; Government; Information security; Legislation; Logic programming; Software systems; Systems engineering and theory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9Q6Z3K99","conferencePaper","2009","Ji, Xinhao","Notice of Violation of IEEE Publication Principles: The Explore of the Law Role in Software Requirements Engineering","2009 Sixth International Conference on Information Technology: New Generations","","","10.1109/ITNG.2009.32","","Law for requirements engineering and system development are important roles. Monitoring systems for requirements and policy compliance has been recognized in the requirements engineering community as a key area for research. This paper surveys research efforts over the past 50 years in handling legal texts for systems development. These efforts include the use of symbolic logic, logic programming, first-order temporal logic, deontic logic, goal modeling, and semi-structured representations. This survey can aid requirements engineers and auditors to better specify, monitor, and test software systems for compliance.","2009-04","2025-02-19 14:51:09","2025-02-19 14:51:09","","195-198","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZJU4H3JF","conferencePaper","2013","Rashidi-Tabrizi, Rouzbahan; Mussbacher, Gunter; Amyot, Daniel","Legal requirements analysis and modeling with the measured compliance profile for the goal-oriented requirement language","2013 6th International Workshop on Requirements Engineering and Law (RELAW)","","","10.1109/RELAW.2013.6671346","","As demonstrated by a benchmark HIPPA case study, the Measured Compliance Profile for the Goal-oriented Requirement Language (GRL) is used to formalize legal text with GRL in order to make it amenable to compliance analysis. This formalization is based on guidelines yielding a goal model that can be analyzed for compliance with the jUCMNav tool with the help of real-world measurements captured by indicators in the goal model. For usability reasons, the legal text may also be specified in a tabular representation and subsequently transformed into a goal model by jUCMNav.","2013-07","2025-02-19 14:51:09","2025-02-19 14:51:09","","53-56","","","","","","","","","","","","","","","","","","","","","","","","compliance; Analytical models; Educational institutions; Electric variables measurement; Electrical engineering; Goal-oriented Requirement Language; indicator; jUCMNav; Law enforcement; legal requirements","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NF2M8SE6","conferencePaper","2016","Soltana, Ghanem; Sabetzadeh, Mehrdad; Briand, Lionel C.","Model-Based Simulation of Legal Requirements: Experience from Tax Policy Simulation","2016 IEEE 24th International Requirements Engineering Conference (RE)","","","10.1109/RE.2016.11","","Using models for expressing legal requirements is now commonplace in Requirements Engineering. Models of legal requirements, on the one hand, facilitate communication between software engineers and legal experts, and on the other hand, provide a basis for systematic and automated analysis. The most prevalent application of legal requirements models is for checking the compliance of software systems with laws and regulations. In this experience paper, we explore a complementary application of legal requirements models, namely simulation. We observe that, in domains such as taxation, the same models that underlie legal compliance analysis bring important added value by enabling simulation. Concretely, this paper reports on the model-based simulation of selected legal requirements (policies) derived from Luxembourg's Income Tax Law. The simulation scenario considered in the paper is aimed at analyzing the impact of a current tax law reform proposal in Luxembourg. We describe our approach for simulation along with empirical results demonstrating the feasibility and accuracy of the approach. We further present lessons learned from the experience.","2016-09","2025-02-19 14:51:09","2025-02-19 14:51:09","","303-312","","","","","","","","","","","","","","","","","","","","ISSN: 2332-6441","","","","Law; Modeling; Legal Requirements; Analytical models; Unified modeling language; Data models; Finance; Generators; Simulation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35T6FHUY","conferencePaper","2013","Jureta, Ivan; Breaux, Travis; Siena, Alberto; Gordon, David","Toward benchmarks to assess advancement in legal requirements modeling","2013 6th International Workshop on Requirements Engineering and Law (RELAW)","","","10.1109/RELAW.2013.6671343","","As software engineers create and evolve information systems to support business practices, these engineers need to address constraints imposed by laws, regulations and policies that govern those business practices. Requirements modeling can be used to extract important legal constraints from laws, and decide how, and evaluate if an information system design complies to applicable laws. To advance research on evaluating requirements modeling formalisms for the representation of legal information, we propose several benchmarks that we believe represent important challenges in modeling laws and requirements governing information systems, and evaluating the compliance of these requirements with laws. While incomplete, the proposed set of benchmarks covers a range of challenges in modeling laws and requirements that we observed in privacy and security law: from the possibility to trace model fragments to law fragments, to the ability to distinguish modalities in law, and to model relations between requirements and law fragments, needed when evaluating compliance. Benchmarks can be used as a checklist when designing and discussing requirements formalisms that support legal requirements modeling. Each benchmark is motivated by related work, a brief legal excerpt, and our experience in modeling regulations.","2013-07","2025-02-19 14:51:09","2025-02-19 14:51:09","","25-33","","","","","","","","","","","","","","","","","","","","","","","","Law; Ontologies; evaluation; Software; Business; legal requirements; Benchmark testing; benchmarks; requirements modeling; Standards","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
