"Document Title","Authors","Author Affiliations","Publication Title","Date Added To Xplore","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBNs","DOI","Funding Information","PDF Link","Author Keywords","IEEE Terms","Mesh_Terms","Article Citation Count","Patent Citation Count","Reference Count","License","Online Date","Issue Date","Meeting Date","Publisher","Document Identifier"
"Changing legal systems: legal abrogations and annulments in Defeasible Logic","G. Governatori; A. Rotolo","NA; NA","Logic Journal of the IGPL","18 Jan 2018","2010","18","1","157","194","In this paper we investigate how to represent and reason about legal abrogations and annulments in Defeasible Logic. We examine some options that embed in this setting, and in similar rule-based systems, ideas from belief and base revision. In both cases, our conclusion is negative, which suggests to adopt a different logical model. This model expresses temporal aspects of legal rules, and distinguishes between two main timelines, one internal to a given temporal version of the legal system, and another relative to how the legal system evolves over time. Accordingly, we propose a temporal extension of Defeasible Logic suitable to express this model and to capture abrogation and annulment. We show that the proposed framework overcomes the difficulties discussed in regard to belief and base revision, and is sufficiently flexible to represent many of the subtleties characterizing legal abrogations and annulments.","1368-9894","","10.1093/jigpal/jzp075","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8146473","Norm dynamics;Temporal Defeasible Logic;Abrogation and annulment;Belief and base revision","","","1","","","","18 Jan 2018","","","OUP","OUP Journals"
"A semantic model for causation in criminal law and the need of logico-legal criteria for the attribution of causation","P. de Sousa Mendes; J. Carmo","NA; NA","Law, Probability and Risk","18 Jan 2018","2013","12","3-4","207","228","Causation as an element of a criminal offence is different from the probative difficulties. The empirical laws that are relevant to the proof of causation, as a pure matter of fact, are not discussed here, but only causality as a category of our understanding and a general law of the intelligible world. This general law of causality is equally valid for all result crimes (e.g. homicide, bodily harm, deception offences and criminal damage). According to the European continental theory of conditions, any ‘conditio sine qua non’ is by itself a cause. Causation is established by the formula of ‘conditio’ (similar to the so-called ‘but for’ test in the common law), which corresponds to a counterfactual reasoning. However, that formula is not able to resolve adequately those cases of causal overdetermination where the result occurred by means of actions of multiple, independently intervening agents. A semantic model of the world evolution, based upon ramified temporal logic, may assist the comprehension of causal connections between human actions and the relevant results. At the end of the day, this model allows us to understand that even in situations where no kind of factual uncertainty is present, doubts upon the attribution of causation to specific agents remain. We shall conclude that the attribution of causation is not a natural problem, but a logico-legal one, that has to be dealt with by way of logico-legal criteria. Nevertheless, attribution of causation must be clearly distinguished from objective imputation of proscribed harm.","1470-840X","","10.1093/lpr/mgt005","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8157858","causation;formula of conditio;counterfactuals;attribution of causation;objective imputation","","","","","","","18 Jan 2018","","","OUP","OUP Journals"
"A model-based framework for probabilistic simulation of legal policies","G. Soltana; N. Sannier; M. Sabetzadeh; L. C. Briand","SnT Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg; SnT Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg; SnT Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg; SnT Centre for Security, Reliability and Trust, University of Luxembourg, Luxembourg","2015 ACM/IEEE 18th International Conference on Model Driven Engineering Languages and Systems (MODELS)","30 Nov 2015","2015","","","70","79","Legal policy simulation is an important decision-support tool in domains such as taxation. The primary goal of legal policy simulation is predicting how changes in the law affect measures of interest, e.g., revenue. Currently, legal policies are simulated via a combination of spreadsheets and software code. This poses a validation challenge both due to complexity reasons and due to legal experts lacking the expertise to understand software code. A further challenge is that representative data for simulation may be unavailable, thus necessitating a data generator. We develop a framework for legal policy simulation that is aimed at addressing these challenges. The framework uses models for specifying both legal policies and the probabilistic characteristics of the underlying population. We devise an automated algorithm for simulation data generation. We evaluate our framework through a case study on Luxembourg's Tax Law.","","978-1-4673-6908-4","10.1109/MODELS.2015.7338237","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7338237","Legal Policies;Simulation;UML Profiles;Model-Driven Code Generation;Probabilistic Data Generation","Unified modeling language;Data models;Law;Adaptation models;Probabilistic logic;Computational modeling","","6","","18","IEEE","30 Nov 2015","","","IEEE","IEEE Conferences"
"A Comparative Study to Determine a Suitable Legal Knowledge Representation Format","A. Shelar; M. Moharir","Department of CSE, RVCE, Bangalore, India; Department of CSE, RVCE, Bangalore, India","2018 International Conference on Electrical, Electronics, Communication, Computer, and Optimization Techniques (ICEECCOT)","20 Feb 2020","2018","","","514","519","Legal Text is typically conveyed in natural language. It is not suitable to be processed by computer. The representation of complex knowledge in legal text is a challenging activity. Researchers have already proposed different approaches in legal domain on knowledge representation. Legal practice is going through changes over past few decades like semi or automated decision support systems. Modeling and reasoning in e.g. argumentation has increasingly become topic of interest in AI and legal community itself. CEN Metalex, Akoma Ntoso, Legal XML are few technologies which have shown promises to cater requirements of complex legal knowledge representation. In this paper we explore the potential of adapting Oasis Legal Doc ML and Legal Rule ML to accommodate them in context of Indian legal text specifically with example of Consumer Protection Act, 1986.","","978-1-5386-5130-8","10.1109/ICEECCOT43722.2018.9001363","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9001363","Knowledge Representation;Akoma Ntoso;LegalDocML;LegalRuleML","Law;Knowledge representation;XML;Metadata;Standards;Cognition","","2","","12","IEEE","20 Feb 2020","","","IEEE","IEEE Conferences"
"Intuitionistic Description Logic and Legal Reasoning","E. H. Haeusler; V. d. Paiva; A. Rademaker","DI PUC-Rio, Puerto Rico; NA; CMA FGV-Rio, Brazil","2011 22nd International Workshop on Database and Expert Systems Applications","16 Jan 2012","2011","","","345","349","Classical Logic has been used as a basis for knowledge representation and reasoning in many domains. Legal Knowledge Representation is interesting due to the natural occurrences of conflicts among law systems, individual laws and cases, usually taken as logical inconsistencies. Due to its inherently normative feature, coherence (consistency) in legal ontologies is more subtle than in other domains. An adequate intuitionistic semantics for negation in a legal domain comes to the fore when we consider laws as individuals instead of propositions. This paper presents a version of Intuitionistic Description Logic designed for legal knowledge representation. The paper discusses a logical coherence analysis of ``Conflict of Laws in Space'', using our logic, and briefly compares this analysis to other logical approaches to Legal Reasoning.","2378-3915","978-1-4577-0982-1","10.1109/DEXA.2011.46","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6059841","ALC;Description Logics;Intuitionistic Logic;Law","Law;Programmable logic arrays;Cognition;Ontologies;Calculus","","2","","22","IEEE","16 Jan 2012","","","IEEE","IEEE Conferences"
"Modeling legal conflict resolution based on dynamic logic","F. Ju; K. Nygren; T. Xu","Faculty of Philosophy, The John Paul II Catholic University of Lublin, 20-950 Lublin, Poland; fengkui.ju@kul.pl; Department of Philosophy, Stockholm University, SE-106 91 Stockholm, Sweden; karl.nygren@philosophy.su.se; School of Law, China University of Political Science and Law, 100088 Beijing, China; tianwen.xu@outlook.com","Journal of Logic and Computation","22 Nov 2021","2021","31","4","1102","1128","Conflicts between legal norms are common in reality. In many legislations, legal conflicts between norms are resolved by applying ordered principles. This work presents a formalization of the conflict resolution mechanism and introduces action legal logic ($\textsf{ALL}$) to reason about the normative consequences of possibly conflicting legal systems. The semantics of $\textsf{ALL}$ is explicitly based on legal systems consisting of norms and ordered principles. Legal systems specify the legal status of transitions in transition systems and the language of $\textsf{ALL}$ describes the legal status of paths in transition systems. The formalization is used to study abstract revisions of legal systems. The expressivity of $\textsf{ALL}$ is studied and its completeness is proved.","1465-363X","","10.1093/logcom/exaa054","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9623635","actions;legal systems;conflicts;principles;deontic logic","","","","","","","22 Nov 2021","","","OUP","OUP Journals"
"Discussion paper: how much of commonsense and legal reasoning is formalizable? A review of conceptual obstacles","J. Franklin","NA","Law, Probability and Risk","18 Jan 2018","2012","11","2-3","225","245","Fifty years of effort in artificial intelligence (AI) and the formalization of legal reasoning have produced both successes and failures. Considerable success in organizing and displaying evidence and its interrelationships has been accompanied by failure to achieve the original ambition of AI as applied to law: fully automated legal decision-making. The obstacles to formalizing legal reasoning have proved to be the same ones that make the formalization of commonsense reasoning so difficult, and are most evident where legal reasoning has to meld with the vast web of ordinary human knowledge of the world. Underlying many of the problems is the mismatch between the discreteness of symbol manipulation and the continuous nature of imprecise natural language, of degrees of similarity and analogy, and of probabilities.","1470-840X","","10.1093/lpr/mgs007","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8157571","","","","1","","","","18 Jan 2018","","","OUP","OUP Journals"
"Research on Legal Judgment Prediction with Multi-Task Learning and Causal Logic","Y. Cheng; C. Chen; Y. Wang","School of Intelligent Technology and Engineering, Chongqing University of Science and Technology, Chongqing, China; School of Intelligent Technology and Engineering, Chongqing University of Science and Technology, Chongqing, China; School of Intelligent Technology and Engineering, Chongqing University of Science and Technology, Chongqing, China","2024 6th International Conference on Electronic Engineering and Informatics (EEI)","8 Oct 2024","2024","","","399","402","With the increasing attention to legal artificial intelligence, Legal Judgment Prediction has become a hot topic. The core objective is to automatically predict the final judgment outcome, which consists of three parts: relevant legal provisions, charges, and penalties, by analyzing the related information of the case. Most existing studies treat the prediction of the three parts as separate tasks, and few consider the logical relationships between the subtasks. Additionally, some studies only establish multi-task learning models from the perspective of shared features, which fails to fully leverage the consistency constraints among subtasks. Therefore, this paper proposes a method based on multi-task learning, considering the logical relationships between subtasks, aiming to deeply explore the relevance between subtasks and guide the model to perform interpretable reasoning. The experimental results have proven the effectiveness of the proposed method, and its comprehensive performance is superior to existing models.","","979-8-3503-5359-4","10.1109/EEI63073.2024.10696599","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10696599","Multi-task Learning;Legal Judgment Prediction;Legal Artificial Intelligence;Causal Reasoning","Correlation;Law;Predictive models;Multitasking;Cognition;Data models;Topology;Logic;Informatics;Artificial intelligence","","","","12","IEEE","8 Oct 2024","","","IEEE","IEEE Conferences"
"Representation of Chinese criminal law in the semantic web","X. Wang; Y. Sun; M. Ge; J. Chen","Liaoning Technical University, Huludao, China; Liaoning Technical University, Huludao, China; Liaoning Technical University, Huludao, China; Liaoning Technical University, Huludao, China","2016 12th International Conference on Natural Computation, Fuzzy Systems and Knowledge Discovery (ICNC-FSKD)","24 Oct 2016","2016","","","1676","1680","SBVR's Structured English (SSE) approach has been applied to deal with problems in the United States legal domain. However, the method has scarcely been applied in Chinese legal field. In this article, we adapt the SBVR Structured English approach for the Chinese Criminal Law and express the Chinese legal rules using semi-formal and formal knowledge representation and automate the transformation from vocabularies and rules in SBVR to vocabularies and rules. Based on the representation above, we also give the preliminary reasoning process of the justifiable defense. The representation and the preliminary reasoning process lay a solid foundation for the reasoning mechanism of Chinese Criminal Law.","","978-1-5090-4093-3","10.1109/FSKD.2016.7603429","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7603429","SBVR;Structured English;Semantic Web;knowledge representation;reasoning mechanism","Vocabulary;Business;Criminal law;Cognition;Knowledge representation","","","","16","IEEE","24 Oct 2016","","","IEEE","IEEE Conferences"
"SEMDR: A Semantic-Aware Dual Encoder Model for Legal Judgment Prediction with Legal Clue Tracing","P. Liu; W. Zhang; Y. Ding; X. Zhang; S. -H. Yang","School of Computer Science and Engineering, Southern University of Science and Technology, China; School of Computer Science and Engineering, Southern University of Science and Technology, China; School of Computer Science and Engineering, Southern University of Science and Technology, China; College of Science, Northeastern University, China; School of Computer Science and Engineering, Southern University of Science and Technology, China","2024 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","20 Jan 2025","2024","","","3447","3453","Legal Judgment Prediction (LJP) aims to form legal judgments based on the criminal fact description. However, researchers struggle to classify confusing criminal cases, such as robbery and theft, which requires LJP models to distinguish the nuances between similar crimes. Existing methods usually design handcrafted features to pick up necessary semantic legal clues to make more accurate legal judgment predictions. In this paper, we propose a Semantic-Aware Dual Encoder Model (SEMDR), which designs a novel legal clue tracing mechanism to conduct fine-grained semantic reasoning between criminal facts and instruments. Our legal clue tracing mechanism is built from three reasoning levels: 1) Lexicon-Tracing, which aims to extract criminal facts from criminal descriptions; 2) Sentence Representation Learning, which contrastively trains language models to better represent confusing criminal facts; 3) Multi-Fact Reasoning, which builds a reasons graph to propagate semantic clues among fact nodes to capture the subtle difference among criminal facts. Our legal clue tracing mechanism helps SEMDR achieve state-of-the-art on the CAIL2018 dataset and shows its advance in few-shot scenarios. Our experiments show that SEMDR has a strong ability to learn more uniform and distinguished representations for criminal facts, which helps to make more accurate predictions on confusing criminal cases and reduces the model uncertainty during making judgments. All codes will be released via GitHub.","","978-1-6654-1020-5","10.1109/SMC54092.2024.10830950","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10830950","","Representation learning;Accuracy;Uncertainty;Law;Instruments;Design methodology;Semantics;Predictive models;Cognition;Software development management","","","","53","IEEE","20 Jan 2025","","","IEEE","IEEE Conferences"
