"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"R2BAVTY2","journalArticle","2024","Almeida, Guilherme F. C. F.; Nunes, José Luiz; Engelmann, Neele; Wiegmann, Alex; Araújo, Marcelo de","Exploring the psychology of LLMs’ moral and legal reasoning","Artificial Intelligence","","0004-3702","https://doi.org/10.1016/j.artint.2024.104145","https://www.sciencedirect.com/science/article/pii/S000437022400081X","Large language models (LLMs) exhibit expert-level performance in tasks across a wide range of different domains. Ethical issues raised by LLMs and the need to align future versions makes it important to know how state of the art models reason about moral and legal issues. In this paper, we employ the methods of experimental psychology to probe into this question. We replicate eight studies from the experimental literature with instances of Google's Gemini Pro, Anthropic's Claude 2.1, OpenAI's GPT-4, and Meta's Llama 2 Chat 70b. We find that alignment with human responses shifts from one experiment to another, and that models differ amongst themselves as to their overall alignment, with GPT-4 taking a clear lead over all other models we tested. Nonetheless, even when LLM-generated responses are highly correlated to human responses, there are still systematic differences, with a tendency for models to exaggerate effects that are present among humans, in part by reducing variance. This recommends caution with regards to proposals of replacing human participants with current state-of-the-art LLMs in psychological research and highlights the need for further research about the distinctive aspects of machine psychology.","2024","2025-02-19 14:56:24","2025-02-19 14:56:24","","104145","","","333","","","","","","","","","","","","","","","","","","","","","Large language models; AI Ethics; Ethics of artificial intelligence; Experimental jurisprudence; Machine Behavior; Machine psychology; Moral psychology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V6BRDVGT","journalArticle","2019","Rocha, André Barreira da Silva; Salomão, Gabriel Meyer","Environmental policy regulation and corporate compliance in evolutionary game models with well-mixed and structured populations","European Journal of Operational Research","","0377-2217","https://doi.org/10.1016/j.ejor.2019.05.040","https://www.sciencedirect.com/science/article/pii/S0377221719304709","We use an evolutionary game model to study the interplay between corporate environmental compliance and enforcement promoted by the policy maker in a country facing a pollution trap, i.e., a scenario in which the vast majority of firms do not internalize their pollution negative externality and auditors do not inspect firms. The game conflict is due to the trade-off in which firms are better-off when they pollute and are not inspected, while social welfare is maximized when auditors do not need to inspect socially responsible corporations that account for pollution in their production decisions regarding technology used and emission level. Starting with a well-mixed two-population game model, there is no long-run equilibrium and the shares of polluters and shirking auditors keep oscillating over time. In contrast, when firms and auditors are allocated in a spatial network, the game displays a rich dynamics depending on the inspecting cost. While the oscillatory behaviour is still possible, there is a set of parameters for which a long run robust equilibrium is achieved with the country leaving the pollution trap. On the other hand, an excessively high inspection cost leads to an ineffective auditing process that drives the few compliant firms out of the country.","2019","2025-02-19 14:56:24","2025-02-19 14:56:24","","486-501","","2","279","","","","","","","","","","","","","","","","","","","","","Game theory; Agent-based model; Cellular automata; OR in Environment and climate change; Structured complex systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K52Q9DZD","journalArticle","2003","Branting, L. Karl","A reduction-graph model of precedent in legal analysis","Artificial Intelligence","","0004-3702","https://doi.org/10.1016/S0004-3702(03)00102-4","https://www.sciencedirect.com/science/article/pii/S0004370203001024","Legal analysis is a task underlying many forms of legal problem solving. In the Anglo-American legal system, legal analysis is based in part on legal precedents, previously decided cases. This paper describes a reduction-graph model of legal precedents that accounts for a key characteristic of legal precedents: a precedent's relevance to subsequent cases is determined by the theory under which the precedent is decided. This paper identifies the implementation requirements for legal analysis using the reduction-graph model of legal precedents and describes GREBE, a program that satisfies these requirements.","2003","2025-02-19 14:56:24","2025-02-19 14:56:24","","59-95","","1","150","","","","","","","","","","","","","","","","","","","","","Case-based reasoning; Legal reasoning; Analogy; Reduction graph","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PPKPB8SL","journalArticle","2023","Yang, Min; Tan, Liuyan; Chen, Xingshu; Luo, Yonggang; Xu, Zhenwu; Lan, Xiao","Laws and Regulations tell how to classify your data: A case study on higher education","Information Processing & Management","","0306-4573","https://doi.org/10.1016/j.ipm.2022.103240","https://www.sciencedirect.com/science/article/pii/S0306457322003417","The era of big data has promoted the vigorous development of many industries, boosting the full potential of holistic data-driven analysis, yet it has also been accompanied by uninterrupted data breaches. In recent years, especially in China, data security laws and regulations have been promulgated continuously, and many of them have made clear requirements for data classification. As the support of data security initiatives, data classification has received the bulk of attention and has been hailed by all walks of life. There is a lot of valuable information contained in the issued regulations, which has already been well exploited in the research of privacy policy compliance verification, whereas few scholars have drawn on such information to guide data classification for security and compliance. As a step towards this direction, in this paper, we define two information types: one is “regulated data” mentioned in external laws and regulations, another is “non-regulated data”, indicating internal business data produced in a certain organization, and develop a novel generalization-enhanced decision tree classification algorithm called Gen-DT to classify data. In this way, data covered by the relevant data security regulatory mandates can be quickly identified and handled in full compliance as well. Furthermore, we evaluate the proposed compliance-driven data classification scheme using datasets collected from two famous universities in China and validate that our approach can achieve better performance than existing popular machine learning techniques.","2023","2025-02-19 14:56:24","2025-02-19 14:56:24","","103240","","3","60","","","","","","","","","","","","","","","","","","","","","Compliance; Data classification; Gen-DT; Non-regulated data; Regulated data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LNYAW8RK","journalArticle","2018","Casalicchio, Emiliano; Cardellini, Valeria; Interino, Gianluca; Palmirani, Monica","Research challenges in legal-rule and QoS-aware cloud service brokerage","Future Generation Computer Systems","","0167-739X","https://doi.org/10.1016/j.future.2016.11.025","https://www.sciencedirect.com/science/article/pii/S0167739X16306641","The ICT industry and specifically critical sectors, such as healthcare, transportation, energy and government, require as mandatory the compliance of ICT systems and services with legislation and regulation, as well as with standards. In the era of cloud computing, this compliance management issue is exacerbated by the distributed nature of the system and by the limited control that customers have on the services. Today, the cloud industry is aware of this problem (as evidenced by the compliance program of many cloud service providers), and the research community is addressing the many facets of the legal-rule compliance checking and quality assurance problem. Cloud service brokerage plays an important role in legislation compliance and QoS management of cloud services. In this paper we discuss our experience in designing a legal-rule and QoS-aware cloud service broker, and we explore relate research issues. Specifically we provide three main contributions to the literature: first, we describe the detailed design architecture of the legal-rule and QoS-aware broker. Second, we discuss our design choices which rely on the state of the art solutions available in literature. We cover four main research areas: cloud broker service deployment, seamless cloud service migration, cloud service monitoring, and legal rule compliance checking. Finally, from the literature review in these research areas, we identify and discuss research challenges.","2018","2025-02-19 14:56:24","2025-02-19 14:56:24","","211-223","","","78","","","","","","","","","","","","","","","","","","","","","Autonomic computing; Cloud computing; Legislation compliance checking; Monitoring; Optimization; Quality of service; Service migration; Service portability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YJL6MHIM","journalArticle","2010","Winne, Philip H.; Hadwin, Allyson Fiona; Gress, Carmen","The learning kit project: Software tools for supporting and researching regulation of collaborative learning","Computers in Human Behavior","","0747-5632","https://doi.org/10.1016/j.chb.2007.09.009","https://www.sciencedirect.com/science/article/pii/S0747563207001525","Computer-supported collaborative learning (CSCL) is a dynamic and varied area of research. Ideally, tools for CSCL support and encourage solo and group learning processes and products. However, most CSCL research does not focus on supporting and sustaining the co-construction of knowledge. We identify four reasons for this situation and identify three critical resources every collaborator brings to collaborations that are underutilized in CSCL research: (a) prior knowledge, (b) information not yet transformed into knowledge that is judged relevant to the task(s) addressed in collaboration, and (c) cognitive processes used to construct these informational resources. Finally, we introduce gStudy, a software tool designed to advance research in the learning sciences. gStudy helps learners manage cognitive load so they can re-assign cognitive resources to self-, co-, and shared regulation; and it automatically and unobtrusively traces each user′s engagement with content and the means chosen for cognitively processing content, thus generating real-time performance data about processes of collaborative learning.","2010","2025-02-19 14:56:24","2025-02-19 14:56:24","","787-793","","5","26","","","","","","","","","","","","","","","","","","","","","Collaborative learning environment; gStudy; Self-regulated learning; Tracing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KZAFJA7D","journalArticle","2017","Baghdadi, Golnaz; Towhidkhah, Farzad; Rostami, Reza","A mathematical and biological plausible model of decision-execution regulation in “Go/No-Go” tasks: Focusing on the fronto-striatal-thalamic pathway","Computers in Biology and Medicine","","0010-4825","https://doi.org/10.1016/j.compbiomed.2017.05.014","https://www.sciencedirect.com/science/article/pii/S0010482517301361","Discovering factors influencing the speed and accuracy of responses in tasks such as “Go/No-Go” is one of issues which have been raised in neurocognitive studies. Mathematical models are considered as tools to identify and to study decision making procedure from different aspects. In this paper, a mathematical model has been presented to show several factors can alter the output of decision making procedure before execution in a “Go/No-Go” task. The dynamic of this model has two stable fixed points, each of them corresponds to the “Press” and “Not-press” responses. This model that focuses on the fronto-striatal-thalamic direct and indirect pathways, receives planned decisions from frontal cortex and sends a regulated output to motor cortex for execution. The state-space analysis showed that several factors could affect the regulation procedure such as the input strength, noise value, initial condition, and the values of involved neurotransmitters. Some probable analytical reasons that may lead to changes in decision-execution regulation have been suggested as well. Bifurcation diagram analysis demonstrates that an optimal interaction between these factors can compensate the weaknesses of some others. It is predicted that abnormalities of response control in different brain disorders such as attention deficit hyperactivity disorder may be resolved by providing treatment techniques that target the regulation of the interaction. The model also suggests a possible justification to show why so many studies insist on the important role of dopamine in some brain disorders.","2017","2025-02-19 14:56:24","2025-02-19 14:56:24","","113-128","","","86","","","","","","","","","","","","","","","","","","","","","Mathematical model; Decision execution; Executive system; Fronto-striatal-thalamic pathway; Go/No-Go; Phase- space","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3BH8YDEQ","journalArticle","2025","Li, Shangyuan; Zhao, Shiman; Zhang, Zhuoran; Fang, Zihao; Chen, Wei; Wang, Tengjiao","Basis is also explanation: Interpretable Legal Judgment Reasoning prompted by multi-source knowledge","Information Processing & Management","","0306-4573","https://doi.org/10.1016/j.ipm.2024.103996","https://www.sciencedirect.com/science/article/pii/S0306457324003558","The task of Legal Judgment Prediction (LJP) aims to forecast case outcomes by analyzing fact descriptions, playing a pivotal role in enhancing judicial system efficiency and fairness. Existing LJP methods primarily focus on improving representations of fact descriptions to enhance judgment performance. However, these methods typically depend on the superficial case information and neglect the underlying legal basis, resulting in a lack of in-depth reasoning and interpretability in the judgment process of long-tail or confusing cases. Recognizing that the basis for judgments in real-world legal contexts encompasses both factual logic and related legal knowledge, we introduce the interpretable legal judgment reasoning framework with multi-source knowledge prompted. The essence of this framework is to transform the implicit factual logic of cases and external legal knowledge into explicit basis for judgment, aiming to enhance not only the accuracy of judgment predictions but also the interpretability of the reasoning process. Specifically, we design a chain prompt reasoning module that guides a large language model to elucidate factual logic basis through incremental reasoning, aligning the model prior knowledge with task-oriented knowledge in the process. To match the above fact-based information with legal knowledge basis, we propose a contrastive knowledge fusing module to inject external statutes knowledge into the fact description embedding. It pushes away the distance of similar knowledge in the semantic space during the encoding of external knowledge base without manual annotation, thus improving the judgment prediction performance of long-tail and confusing cases. Experimental results on two real datasets indicate that our framework significantly outperforms existing LJP baseline methods in accuracy and interpretability, achieving new state-of-the-art performance. In addition, tests on specially constructed long-tail and confusing case datasets demonstrate that the proposed framework possesses improved generalization abilities for predicting these complex cases.","2025","2025-02-19 14:56:24","2025-02-19 14:56:24","","103996","","3","62","","","","","","","","","","","","","","","","","","","","","Legal judgment prediction; Contrastive learning; Interpretability; Knowledge encoding; Prompt learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47R6KZWQ","journalArticle","2004","Petrovic-Lazarevic, S.; Coghill, K.; Abraham, A.","Neuro-fuzzy modelling in support of knowledge management in social regulation of access to cigarettes by minors","Knowledge-Based Systems","","0950-7051","https://doi.org/10.1016/S0950-7051(03)00049-2","https://www.sciencedirect.com/science/article/pii/S0950705103000492","In this paper a neuro-fuzzy modelling is proposed to support knowledge management in social regulation. The neuro-fuzzy learning process is based on tacit knowledge in order to highlight what specific steps local government should undertake to reach the outcome with an increase in compliance. An example is given to demonstrate the validity of the approach. Empirical results show the dependability of the proposed techniques.","2004","2025-02-19 14:56:24","2025-02-19 14:56:24","","57-60","","1","17","","","","","","","","","","","","","","","","","","","","","Knowledge management; Neuro-fuzzy; Social regulation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VWZWQJDL","journalArticle","2000","Tan, Yao-Hua; Thoen, Walter","INCAS: a legal expert system for contract terms in electronic commerce","Decision Support Systems","","0167-9236","https://doi.org/10.1016/S0167-9236(00)00085-3","https://www.sciencedirect.com/science/article/pii/S0167923600000853","Electronic commerce is doing business via electronic networks. Paper-based trade documents such as, for example, request for quotation, purchase order or invoice are replaced by electronic messages, in particular Electronic Data Interchange (EDI) messages. These electronic messages are not only transmitted much faster than paper-based documents, but they can also be processed automatically by computers. An example of this automated processing of electronic messages is electronic contracting and negotiation where the actual trade contract is on-line negotiated and concluded via an electronic network. We present the legal expert system INCAS that can provide on-line explanations about the use of Incoterms in trade contracts. Incoterms stipulate which party (buyer or seller) is responsible for arranging and paying transport of the goods, and arranging the documents necessary for this transport (e.g. export and import clearance documents, certification of origin, quality certificates etc.). INCAS is implemented in the programming language Prolog. We also explain how the defeasible reasoning capability of Prolog is essential for modelling the reasoning about the Incoterms.","2000","2025-02-19 14:56:24","2025-02-19 14:56:24","","389-411","","4","29","","","","","","","","","","","","","","","","","","","","","Legal reasoning; Regulations; Electronic commerce; Defeasible logic; Deontic logic; Incoterms; Trade procedures","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
