Source;DOI;Url;Title;Year;Author;Abstract;First Round Decision;First Round Reason;Exclusion Criteria;Second Round Decision;Second Round Notes;Argumentation;Case Focus (Common Law);Statutes focus (Civil Law);Is Ontology;Formalization (Type of Logic);Reacts To Changes in the law;Mentions Conversion;Level of Automation on Creation;Human Understandability;Level of Involvment by legal practitioners in the creation of the methodology;BPC mentioned;Purpose;Demonstrated in Domain (This does not preclude genearl applicability);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IEEE;10.1109/MODELS.2015.7338275;;Model-driven regulatory compliance: A case study of “Know Your Customer” regulations;2015;"Sunkle, Sagar; Kholkar, Deepali; Kulkarni, Vinay";Modern enterprises face an unprecedented regulatory regime. Industry governance, risk, and compliance (GRC) solutions are document-oriented and expert-driven. Formal compliance checking techniques in contrast attempt to provide ways for rigorous modeling and analysis of regulatory compliance but miss out on holistic GRC perspective due to missing integration between diverse set of (semi-) formal models. We show that streamlining regulatory compliance using multiple purposive models of various aspects of regulations, it is possible to leverage both the rigor of formal techniques and the holistic enterprise GRC perspective. Our contributions are twofold. First, we present a model-driven architecture based on a conceptual model of integrated GRC that is capable of addressing key challenges of regulatory compliance. Second, using Know Your Customer regulations in Indian context as a case study, we demonstrate the utility of this architecture. Initial results with KYC regulations are promising and point to further work in model-driven regulatory compliance.;Yes;;;Yes;;No;No;Yes;No;(Defeasible Reasoning)-Prolog;Yes;No;Manual;Not optimized;"""domain experts""";"""Challenging""";Compliance;General;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IEEE;10.1109/RELAW.2009.4;;Governance Requirements Extraction Model for Legal Compliance Validation;2009;"Hassan, Waël; Logrippo, Luigi";We present a model-based approach to extract governance requirements from the law and enterprise regulations, to formal specifications. This is the first step of an end-to-end implemented methodology for validating legal compliance of enterprises to law through logic models. Our UML-based Governance Extraction Model (GEM) is able to extract many legal and enterprise requirements, particularly business process and access-control requirements. Examples from Canadian and USA financial and privacy laws are provided. As a result of our extraction process, logic analyzers were shown to be able to detect compliance faults.;Yes;;;Yes;;No;No;Yes;Yes;UML;No;No;Manual;Not optimized;No;Yes;Compliance;Finance, Privacy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IEEE;10.1109/RELAW.2008.8;;Requirements and compliance in legal systems: a logic approach;2008;"Hassan, Wa ël; Logrippo, Luigi";It is shown that the concepts of requirements and implementation exist in normative systems, in particular in law, and are similar to homologous concepts in software engineering. Concepts of compliance and conformance are also similar in the two areas. Further, it is shown how a logic analyzer such as Alloy can be used in order to verify legal compliance by checking consistency between legal and enterprise requirements. Examples are taken from privacy law and financial reporting law.;Yes;;;Yes;;No;No;Yes;Yes;non-modal, first order predicate logic;No;No;Manual;Not optimized;No;Yes;Compliance;Finance, Privacy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IEEE;10.1109/RELAW.2009.3;;Checking Existing Requirements for Compliance with Law Using a Production Rule Model;2009;"Maxwell, Jeremy C.; Antón, Annie I.";To ensure legal compliance, requirements engineers need tools to determine existing software requirements' compliance with relevant law. We propose using a production rule model for requirements engineers to query as they check software requirements for legal compliance. In this paper, we perform a case study using our approach to evaluate the iTrust Medical Records System requirements for compliance with the u.s. Health Insurance Portability and Accountability Act (HIPAA). We identifY 12 new compliance requirements beyond the 63 functional requirements with which we began our analysis.;Yes;;;Yes;;No;No;Yes;No;Prolog;No;No;Manual;Includes visualisation;No;No;Compliance;Privacy (in Healthcare);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IEEE;10.1109/RELAW.2013.6671346;;Legal requirements analysis and modeling with the measured compliance profile for the goal-oriented requirement language;2013;"Rashidi-Tabrizi, Rouzbahan; Mussbacher, Gunter; Amyot, Daniel";As demonstrated by a benchmark HIPPA case study, the Measured Compliance Profile for the Goal-oriented Requirement Language (GRL) is used to formalize legal text with GRL in order to make it amenable to compliance analysis. This formalization is based on guidelines yielding a goal model that can be analyzed for compliance with the jUCMNav tool with the help of real-world measurements captured by indicators in the goal model. For usability reasons, the legal text may also be specified in a tabular representation and subsequently transformed into a goal model by jUCMNav.;Yes;;;Yes;;No;No;Yes;No;Goal Model;Explicit Limitation;From Tabular Representation?;Semi-Automatied;Includes visualisation;No;No;Compliance;Privacy (in Healthcare);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IEEE;10.1109/RE59067.2024.00065;;Enhancing Legal Compliance and Regulation Analysis with Large Language Models;2024;Hassani, Shabnam;This research explores the application of Large Language Models (LLMs) for automating the extraction of requirement-related legal content in the food safety domain and checking legal compliance of regulatory artifacts. With Industry 4.0 revolutionizing the food industry and with the General Data Protection Regulation (GDPR) reshaping privacy policies and data processing agreements, there is a growing gap between regulatory analysis and recent technological advancements. This study aims to bridge this gap by leveraging LLMs, namely BERT and GPT models, to accurately classify legal provisions and automate compliance checks. Our findings demonstrate promising results, indicating LLMs' significant potential to enhance legal compliance and regulatory analysis efficiency, notably by reducing manual workload and improving accuracy within reasonable time and financial constraints.;Yes;;;No;No actual intermediate law representation besides the original text;No;;;;LLM;Explicit Limitation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IEEE;10.1109/DASC-PICom-DataCom-CyberSciTec.2017.115;;Modular Norm Models: A Lightweight Approach for Modeling and Reasoning about Legal Compliance;2017;"Mandal, Sayonnha; Gandhi, Robin; Siy, Harvey";Complying with legal regulatory requirements in privacy and security is necessary for critical software systems. Analysis of complex and voluminous legal text can benefit from the automation and traceability of logic-based models. We propose such a model based on norms. Norms are legal rights and associated duties expressed in regulatory documents. Such norm models help reason about available rights and required duties based on the satisfiability of situations, a state-of-affair, in a given scenario. But model extraction from natural language as well as compliance reasoning in complex scenarios needs subject matter expertise. Our method enables modular norm model extraction and reasoning. For extraction, using the theory of frame-semantics we construct two foundational norm templates that cover Hohfeld's concepts of claim-right and its jural correlative, duty. Template instantiations from legal text result in a repeatable method for extraction of modular norm models. For reasoning, we introduce the notion of a super-situation. Super-situations contain other norm models. Compliance results from a modular norm are propagated to its containing super-situation, which in turn participates in other modular norms. This modularity allows on-demand incremental modeling and reasoning using simpler model primitives than previous approaches.;Yes;;;Yes;;No;No;Yes;No;Nòmos Extension;No;No;Automatic (frame-semantics);Not optimized;No;No;Compliance;Privacy (in Healthcare);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IEEE;10.1109/RELAW.2010.5625356;;Law, logic and business processes;2010;Governatori, Guido;Since its inception one of the aims of legal informatics has been to provide tools to support and improve the day to day activities of legal and normative practice and a better understanding of legal reasoning. The internet revolutions, where more and more daily activities are routinely performed with the support of ITC tools, offers new opportunities to legal informatics. We argue that the current technology begins to be mature enough to embrace in the challenge to make intelligent ICT support widespread in the legal and normative domain. In this paper we examine a logical model to encode norms and we use the formalisation of relevant law and regulations for regulatory compliance for business processes.;Yes;;;Yes;;No;No;Yes;No;Novel: Process Compliance Language (PCL): Modified Deontic Logic + Defeasible Logic;No;No;Manual;Not optimized;No;Yes;Compliance;General;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IEEE;10.1109/RELAW.2010.5625358;;A method to acquire compliance monitors from regulations;2010;Breaux, Travis D.;"Developing software systems in heavily regulated industries requires methods to ensure systems comply with regulations and law. A method to acquire finite state machines (FSM) from stakeholder rights and obligations for compliance monitoring is proposed. Rights and obligations define what people are permitted or required to do; these rights and obligations affect software requirements and design. The FSM allows stakeholders, software developers and compliance officers to trace events through the invocation of rights and obligations as pre- and post-conditions. Compliance is monitored by instrumenting runtime systems to report these events and detect violations. Requirements and software engineers specify the rights and obligations, and apply the method using three supporting tasks: 1) identify under-specifications, 2) balance rights with obligations, and 3) generate finite state machines. Preliminary validation of the method includes FSMs generated from U.S. healthcare regulations and tool support to parse these specifications and generate the FSMs.";Yes;New idea: FSM;;Yes;;No;No;Yes;No;Finite Statemachine;No;As a process, maps Knowledge Transformation Language (KTL) statements to formal logic and then to the final FSM;Mostly automatic (Assuming KTL as input);Not optimized;No;No;Compliance;Privacy (in Healthcare);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IEEE;10.1109/EDOC.2011.37;;Making Business Processes Compliant to Standards and Regulations;2011;Papazoglou, Michael P.;Compliance regulations require enterprises to review their SOA applications to ensure that they satisfy the set of relevant compliance requirements. Despite an increasing number of methods and tools, organizations have a pressing need for a comprehensive compliance framework to help them ensure that their business processes comply with requirements set forth by regulations, laws, and standards. In this paper we explain how to cope with business process compliance requirements and present a framework to capture and manage compliance requirements. We introduce a declarative Compliance Request Language for specifying compliance requirements. We also examine a set of compliance patterns to support the definition of frequently recurring compliance requirements in association with business processes. This approach enables the application of automated tools for compliance analysis and verification.;Yes;;;Yes;;No;No;Yes;No;Compliance Request Language (CRL) can be mapped to Linear/Metric Temporal Logic (LTL/MTL);No;Into TLT/MLT;"Automatic conversion to TLT/MLT; Rest Manual";Yes, CRL optimized for human optimization;No;Yes;Compliance;General;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
